Video ID,normalized_title,normalized_transcript
THw-wXt7wyM,tech myth busted,five tech myth busted signal bar equal better service signal bar phone actually show close nearest cell tower speed full signal still feel slow network busy airplane mode charge phone faster technically speaking yes minute airplane mode make lose battery tiny bit slower doesnt actually anything charging megapixels equal better photo here megapixel photo here megapixel photo there many factor define good modern camera system actual megapixel count becoming almost meaningless closing apps speed phone case actually make slower current smartphones actually designed able manage juggle multiple apps automatically background keep closing phone actually use power load back private browsing mode anonymous prevent logins history recorded device everything still go internet service provider
EnJgyKosCII,neuralink work,neurolink start surgeon drilling hole head size coin robotic arm carefully insert ultra thin flexible thread brain thread finer strand hair equipped electrode directly interact cell brain implant capable interpreting thought applying real life action
SJBkTSSJGPQ,drone wing technology engineering drone,brought drone wing instead propeller fly type drone called ornithopter fly convert spinning motion motor flapping lightweight wing using intricate set cog work together perfect synchronization like change direction us another motor move tail side side together creates drone thats even agile one propeller much complex impressive flapping drone fly incredibly well like one festo covered recent video let see one amazon fly turn flew pretty well even crash subscribe
vgB_RmRa_kI,cleaning macbook pro bad tech pc technology short,introducing sad book pro dustiest crustiest greasiest musti overpriced laptop coming basement near complete lb horse pubes l finger grease crack rock local housing project diabolical delight dingleberries isnt faint heart waiting filth nothing new greatest technician thats ever lived since crawling toxic landfill known room sometimes path sleeping mother thankfully ive finally acquired mask thanks adam fearing health im well equipped decontaminate slab malaria scrub away remnant rsv using parakeet toothbrush acquired nightly wrestling match residence temp longer resembling midnight vega time wipe screen layer grease thick rival disastrous oil spill face one last look time burn rag like ive burned eyeball
gkYfm8G7lSc,brightest phone flash world,iphone largest iphone world give idea check bright flash let get thing powered largest usbc cable world completely custom cable designed deliver lot power two strong magnet allow unlock satisfying button behind every button tiny air hole reduces speed air pas making every press much weight every single person looking right yeah come look pretty cool right biggest selfie world normal iphone flash face better light iphone oh god feel like walked sun
MNqGDBlPJpY,oldest tech,oldest tech still use probably monitor obvious right monitor tv last long time parent still old crt panasonic tv somehow still work mean absolute monster mean still display image okay youre chad keep tech always updated buy latest iphone every year wow youre cool case likely oldest tech probably game console ive met many people nostalgia old nintendo playstation console still day got working xbox use sweet mid gaming course everyone blessed able upgrade phone pc every monday still see comment saying omg thats pc put picture video laptop youre one people dont worry upgrade come soon king got stay patient
rzFKuRWktCo,crooked slot hp laptop make uncomfortable technology tech computer short,looking laptop make uncomfortable slot definitely last minute idea shoved wherever room someone hp either got raise got fired design perfect example much effort hp put designing consumer model laptop
2L2mA0rkZ4Q,biggest fashion trend cant miss,hello beautiful people welcome back channel year shaping groundbreaking year fashion world trend bold versatile full character today video well explore top fashion trend going everywhere year wardrobe essential reimagined bold statement piece trend inspire next outfit elevate style grab cozy drink let dive biggest fashion moment number one basic elevated redefining wardrobe essential giving everyday basic contemporary twist classic piece like tank top tshirts reimagined refined cut premium fabric thoughtful detail elevate overall look trend celebrates power simplicity focusing piece combine comfort style tank top shirt stepping spotlight year innovative design bring fresh perspective wardrobe essential shirt longer confined traditional cut instead seeing asymmetric hem oversized silhouette cropped style add intrigue even simplest outfit whether sleek satin buttondown crisp cotton shirt unique detail like exaggerated cuff high low hemline design make statement remaining versatile number two white jean white jean longer confined summer wardrobe become yearround essential clean modern aesthetic make standout piece whether styled casually polished occasion season white jean available variety style highwaisted wid leg slim straight cut key choose design complement body shape maintaining structured fit white denim bright fresh appearance serve perfect foundation neutral vibrant color palette number three slim straight jean skinny jean may taking back seat slim straight jean stay flattering style offer ideal balance structure comfort making musthave year timeless style evolved include variety wash deep indigo soft light blue allowing choose perfect shade occasion slim straight jean celebrated ability complement wide range wardrobe piece making foundational item modern dressing number four return boho bohemian style making major comeback year reimagined fresh modern twist key element like flowy dress ruffle skirt fringe accent remain staple trend theyre paired structured piece create balanced aesthetic rich earthy tone terracotta sage green mustard yellow dominate color palette giving boho aesthetic grounded elegant feel suede jacket boot standout piece seamlessly tie together relaxed polished aspect style ruffle detail lightweight fabric embroidery add texture movement outfit making visually dynamic accessory crucial completing boho vibe belt playing standout role wide belt often featuring bold buckle intricate detailing defining element aesthetic eyecatching piece help cinch waist add structure flowy dress skirt creating balanced silhouette number five exposed shoulder exposed shoulder design dominating fashion scene year offering blend boldness femininity feel modern timeless whether offshoulder top strapless dress symmetrical cut trend highlight neckline shoulder creating graceful striking silhouette style work across various fabric occasion relaxed daytime piece elegant evening wear flowy offshoulder blouse knit top cutout shoulder key example trend incorporated different wardrobe staple exposed shoulder design draw attention upper body also exude confidence poise season must anyone looking embrace fresh elegant fashion forward look number six statement jewelry statement jewelry take refined artistic turn focusing unique eyecatching detail pearl necklace making wave often layered varying length create sophisticated modern aesthetic layered approach allows timeless elegance pearl feel fresh contemporary cuff bracelet also gaining attention especially styled pair worn sleeve blouse coat bold placement add unexpected twist outfit blending practicality high fashion look sleek metallic design embellished cuff make strong impression oversized earring continue dominate key accessory geometric shape intricate design gemstone statement piece frame face beautifully add touch drama look season jewelry embrace bold daring design seamlessly balanced pairing outfit harmonious minimalist way number seven ladylike jacket tailored jacket feminine detail like cinched waist flared hem pearl button making wave season design strike delicate balance structure softness making ideal formal casual occasion addition tailored jacket boxy buttoned cardigan also gaining attention versatile piece offer modern twist classic knitwear clean line decorative button make stand perfect layering easily transition day night keeping stylish comfortable number eight sheer layer sheer fabric making bold statement season appearing everything blouse dress trouser skirt translucent piece bring light ethereal quality outfit adding texture depth wardrobe sheer clothing may everyones favorite trend potential elegant refined used thoughtfully incorporating sheer element minimalist understated way like sheer panel blouse delicate overlay dress elevate look special occasion stylish venue number nine plethora polar polo shirt stepping back spotlight year modern twist redefines classic wardrobe staple sleek formfitting design oversized silhouette polo reimagined fresh cut unique texture unexpected detail season expect see polo crafted elevated material like ribbed knit soft wool even satin finish introduction contrasting collar bold color block subtle embellishment add contemporary edge timeless piece number maximalist fashion maximalist trend embracing bold pattern vibrant color unique texture express individuality confidence wardrobe year fashion taking turn towards statement making piece prioritize creativity convention expect see daring combination color pattern well clothing featuring unexpected cut dramatic silhouette piece intricate detailing oversized proportion unconventional design leading charge redefining personal style fashion trend define whether youre fan bold maximalism prefer understated charm ladylike jacket there something everyone embrace season enjoyed video dont dont forget like subscribe share fashion forward friend thank watching ill see next video stay stylish stay confident make fashionable year yet
f39Fy5jTzfI,fashion trend going huge,always fun see trend going happening next season case next year trend fashion world predicting huge may surprise may want see idea look forward let get started saw lot basic basic big trend every single company known man whether made basic came white tea basic huge year going still see basic theyre going little bit updated little bit elevated little bit interesting tank top huge still big trend course see basic ribed tank top also going see tank top glittery metallic leather basic tank top steroid ill honest im sure feel kind tank top dont know ill maybe know well see happens let talk jean ill probably whole separate video jean next year spring jean going big barrel leg going anywhere anyone thought flash pan trend um still still going go well last forever course still big jean trend youre also going see lot white jean offwhite jean go make sense kind micro trend right get spring cant even believe im talking spring right um degree morning anyway get spring kind traditional type trend think going see lot white jean offwhite jean styled many different way here big question everybody want know skinny jean going come back listen dont know future predict based see fashion world thing skinny jean wearing like six year ago really stretchy almost jegging theyre really tight tight way ankle yeah know still look kind dated yes play around probably restyle think clothes far wearing exact way wearing many year still kind dated look big trend think big trend slim straight jean kind cousin skinny jean stiffer pair jean theyre super stretchy like one wearing may fitted hip thigh room calf theyre definitely skinnier jean theyre skin tight know never know spring might flooding world everywhere see skinny jean knee boot um floppy hat something back much fun watch love video predict still dont think skinny jean year ago going back course wide leg straight leg definitely thats like big major huge trend thats definitely going anywhere long time lowrise highrise midrise rise wide straight definitely staple kind um style jean moment definitely going see lot statement jewelry interesting ensemble unique personal style jewelry video link description box like high quality jewelry piece youre looking really great gift somebody im excited share sponsor video majuri youve definitely seen wear lot maui piece kind everyday goto piece put earring im wearing right look like would heavy theyre super lightweight silver ive worn much actually got gold well theyre kind statement earring theyre still theyre heavy like cumbersome think theyre cute cuz sometimes want wear like big earring nothing else think something like would really great christmas gift somebody like jewelry theyre still classic enough looking still make statement theyre high quality theyre heavy go really well highneck sweater seen lot heart jewelry heart huge trend one actually really really like subtle enough could layer thing could wear maui probably best ring selection think anybody love ring ring easy wear stack also get really funny wearing really heavy ring finger day long start bother wear kind forget like high quality jewelry karat gold stir lling silver majs piece sustainably sourced theyre made high quality material really dont think go wrong piece link one im showing um description box great company check christmas gift year let continue shear big trend last couple year think going bigger ever lot clothing house really embracing shear lot different style ill honest got tell think know sheer piece sheer item know run risk kind looking cheap tacky ill thats thats feel dont know maybe shouldnt say video look beautiful one dress dress basically sheer way thigh got sheer skirt think pretty probably stand alone there sheer actually really like usually something becomes really big trend come style get better looking there lot option choose maybe six month ill like love shear shear great like shear get ready youre like like sheer well maybe therell piece shear actually really like going see lot maximalist fashion last year weve saw lot minimalist fashion lot basic frill kind style personally kind love fun add something thats kind statement piece every think thats really going kick engine going start maximalist statement making piece fashion world designer like st laurant loue bringing back statement making maximum style show already seeing jewelry lot statement piece like know big bigg ger statement making jewelry piece kind becoming standouts jewelry world think really going continue itll fun see go itll really fun see fashion go trend going see boho look become thing boho big dont know im drawing blank comment big know maybe maybe case youre going see lot boho style really fun one look spring come around fall weve seen lot big hobo bag definitely kind like boho style become really big definitely see boho style going suede huge trend suede definitely going continue huge trend even spring saw lot chloe beautiful feminine suede piece spring paired feminine skirt feminine boho ensemble suede big even spring youre going see suede loafer sued skirt many style suede faux suede fabric course continuation big suede trend thats happening right there one suede item suede midi skirt think cute every time see somebody im like oh god love look love boot think cute sport wear active wear kind blurring definition quite time saw kind microt trend adidas pant button loafer ballet flat something going see sportswear athletic wear type style kind look little fashiony dont look like would wear go work play rugby know playing rugby um something wear pearl wear outfit love big rugby stripe thats trend one rugby stripe shirt reel back buying like total slew like need one love look kind see kind see kind fun casual trend kind see really fun trend u play around youll let know think along sporty chic trend expecting see lot polo shirt womens fashion seen rise trend polo shirt going see lot style cut polo shirt instead boxy kind oversized relaxed polo shirt might see maybe little bit feminine little bit body skimming cut im personally body skimming fitted cut dont really even think thatll big trend think itll still like relaxed look think see different variation polo shirt become really big shoulder going trending know sound strange dont mean cold shoulder top theyre still trending even offsh shoulder strapless one shoulder asymmetrical style really big course coming spring really coming spring first major season dont really count winter spring know see lot strapless dress lot know one shoulder asymmetrical even right fall winter seeing lot sweater knit offsh shoulder think fun one like style love shoulder one shoulder think really fun way show little bit skin youre like showing everything well see go two trend huge think even theyre going still huge one really big trend last many many year one ladylike jacket tweed jacket chanel inspired jacket thats really big trend last couple year going continue trend going continue cardigan im talking like boxy de cardigan andor one already button well kind like one guess isnt really cardigan whole style still big cropped really long either way really big trend itll im sure probably already one something like popular dont see going anywhere major trend happening expect see youll let know think course video get specific category there much fun watch love see happens fashion world trend love trend dont know dont ever feel obligated wear something trending anyway let know think always let know like dont like um make sure check maui especially youre still looking gift people little bit hard buy feel like really great piece would really beautiful christmas gift anyway link everything um talk mentioned video description box see next time
66Vfm5MZYKw,golden globe fashion roast good bad ugly,hello everybody name lukar hotl mode today hot mode getting golden globe fashion roast going talking bunch celebrity outfit recent golden globe movie tv come together one night listen there lot people talk dont see fave video there going another one youll see lot people couldnt like person plus vid dont get undies twist without ado let begin first ali wong stop saying ali wrong every time dont understand choice make shes wearing balenciaga okure understand meant like fun strippy chiffon dress big bow look like went shredder thing appreciate artistic technique capability craft ship also time like say thing look like look like got torn somebody think saw runway thought okay model cant pull rare anybody else one case bow waist dont love curved neckline im obsessed think lot dress glove doesnt help take much really able carry unfortunately dont think there anybody could carry something like next angelina jolie wearing alexander mcqueen recent collection actually finale look collection ive kind waiting see going wear issue dress didnt love runway like wasnt favorite wasnt oded think lot people could appreciate cool part dress sort hood dont know kind like veil sat top draped looked like one piece like full look aura like head toe veil shroud angelina jolie didnt wear veil shroud wore hair face okay like think dress needed shroud based alexander mcqueen collection banshee based like irish mythology screaming banshee really cool concept like wispy sort dark gothic eerie silvery ghostin would think like think banshee dont think feel like mother bride silver dress like thats great people like expect especially mcqueen wish angelina jolie like let get veil even custom veil would still show face manner degree kept idea wrapping head sort like shrieking shacky glamour think hard deconstruct certain look put red carpet say well im going like casual glam like dont know youre keeping energy dress also dont think shoe help defeat mother bride accusation either next anna aai shes wearing dior here thing see saying wanted inspired character shogun idea sort like believe armor tightness bodice sort flowiness skirt like thats great thats good dont actually mind bodice think bodice interesting different dior really something would expect see actually feel like think based resort collection idea like armor scotland thing like done full white dont think skirt support dress way think supported understand wanting go like column effect b peplum doesnt land like super glamorous anybody like oh yeah different emotion doesnt look different emotion dont think skirt support top back buckle expose back buckling dont think good dress skirt separate combo think shes radiant like go without saying everybody dont love skirt also dior expect little bit better better term quality expect little boring sure fine also usually expect lot crispness clean well done im little shocked next ariana grande wearing vintage xoni uber xoni spring summer shes old shes old girl ariana im talking dress please here ill say dress dont know give background color scheme beforehand orh hand like dont think wearing yellow background help think pale yellow pale flower yellow doesnt land think take away dress understand wearing yellow shes wearing yellow cuz like there glinda reference something like think uber deoni design wise look skirt see sort empire waistline gather actual waste sort bubble dont think particularly attractive design quality also much uber deoni thing like look older style bubble poke didnt love know obviously trying pay omage audrey heern love audrey heern also shes xoni brand ambassador past stand think wasnt favorite dress necklace jewelry even glove like think shes adding character think styling well done say embroidery zoom beautiful there gold sort outline pearlescent little orb whatever whatever design really radiant also think important note swooping sort side skirt another xoni ism like real xoni okure way back day appreciate thats wonderful also appreciate think dress context im obsessed besides feel like everybodys saying shes angling audrey heer biopic id give say next iowa debor wearing l loved thing pretty unassuming suit really beautifully cut honestly blazer like gray shirt underneath pair intriguing pant theyre draped funny enough look back pant certain jean usually sort emblem back could say levi could say lou could say whatever seems like jonathan anderson he turned front reality draped right underneath sort leather patch say l thats drape end creates interesting sort pleated pleated really gathered pair trouser change idea tailoring really intriguing fun part whole look fact shes wearing gold feather tie love weird quirky cool crazy much fun also saw online believe cino came said julia robert actually possibly reference io gray suit wore golden globe kind love fact true like cool play nod know actor past time totally switch concept adding gold feather tie love thought fun like simple way change suit make little bit funkier without really taking away idea wellcut suit next celan cette wearing louis vuitton love dress here thing nickolas jare louis vuitton sort weirdness yet time mean skirt fit phenomenally interesting sort draping situation going bloused bodice area idea embracing like wider shoulder yet making feel super heavy super tailored super also think really interesting see liquidity draping also dress gold would say term fabric know mean like thinking maybe oh lame gold lame zoom actually see gold dress made entirely embroidered bugle bead think like somebody hand embroider fabric bead like fully hand embroidered gown top crystal added top sort give little bit sparkle really favorite part dress think gold would fine people like like crystal okay sure whatever thing would doesnt hurt dress interesting fact toid c blan chad actually wore dress already wore film festival back thing believe lvie must readded revamped dress look original version crystal top im sure back somebody probably find clip complaining way drape sort sat actually think looking older version crystal crystal actually help sort take looking seam add gathering actually think much better version really sort help really focus idea liquidity movement love c blette love rewear stuff also really like upcycled know mean exact dress little bit sparkle added make new next weve coleman domingo who wearing valentino he heavy valentino gentleman late although think maybe last year golden glove wore valentino like think favorite col domingo look ever here thing like beautiful black suit he statuesque radiant always look good everything even dont love everything think maybe big issue shirting area love polka dot love white black love really white black white black white black throughout love tie think whats hard tie big fringe layer top second part bow experience kind clunk area especially cumr bun underneath know mean like dont really see much polka dot like lot graphic graphic graphic go black think thats one singular issue look great like suit fit fantastically im happy see like always little bit fashion forward little bit lot bit fashion forward he much fashion forward people talk appreciate think maybe one thing im like dont love appreciate im happy next cynthia arivo shes wearing louis vuitton love dress really know people like luke love dress like weird gigantic peplum thats squared here thing im going say look lot dress throughout carpet particular way hit floor kind strange like sort hit chop right floor feel awkward look way skirt fall like beautiful perfect gorgeous skirt skirt alone would approved im obsessed would die also think actual bodice dress fit rather well somebody commented like fit perfectly actually boob smushed yeah see saying little smushed get understand besides mean waist fantastic peplum cynthia always little bit vard little fashion forward something thats different actually dont think fashion perspective hurt silhouette dress take away anything yes additive might make people uncomfortable cannot good conscience sit say oh hurt dress creates way much space waist area oh really detracts skirt top actually think kind perfect dont know way lay dont know pretty much rectangle time like fabric rectangle see know surface reality look side probably arch side really fascinating dress love fact cynthia making think much something top think black silver really lace brain afar look like lace actually black matte fabric fully sequined look like lace make eye think lace like kind like lace trump ly little bit distance pum lace lied covered silver sequin rest dress love fact pum lace rest dress isnt cant really tell looking like really well done silus jason balden like dont know like zenda la roach thing time time deliver next demi moore shes wearing armani pr said one video one instagram tik tok video didnt like love dress dont think bad dress im saying bad dress beautiful color love organza reflective organza think maybe photo cant tell thats overlay cant tell thats water put dress reflecting strange love think neckline interesting like silver crystal move sort create interesting shape like dont think bad dress dont think look bad think look beautiful dress interest gagged dress people dress think thats okay next l fanning wearing bal man custom balman gown olivier rone actually based balman okure look fall winter collection see actually leopard panel bust area see sort draped bodice belt big skirt thing love recreation dress fact l similar term leopard drape big skirt bel unlike original im assuming use like real leopard assume use sort fur painted know colored look like leopard ell isnt real leopard thank goodness actually embroidered bugle bead like capelan chets im pretty positive leopard print embroidery thats theyve done like think thats fantastic isnt even normally dress would mean skinny belt sort poofy beige leopard maybe doesnt necessarily make lot sense actually think really work think skirt lovely think color fantastic think leopard embellishment really add little oomph little intrigue little interest make feel different top shes wearing cardier cardier like brand animal panther necklace two panther spot sort know come head right front neck like another fun way play brand imagery cardier b like dont know cool think well thought next glenn powell wearing georgo armani here thing like good suit fit well dont really get wearing cber bun also like wearing bow tie like tuxedo situation know mean like think thats im comprehending get he meant like hot sexy guy campus kind thing see understand he hot he sexy cool wish like tie think like popping button wearing cumber bun like casual dressed doesnt work think kind pick one cant cant cake eat next jonathan vaness christian serano didnt even know christian serano first talking jvn dress realm make much worse upset jonathan vaness wearing dress wearing makeup cuz somebody like thank god somebody saying shouldnt men wearing dress makeup like thats point im making wear dress wear makeup dont wear like ugly dress bad makeup thats issue think piece fabric piece fabric worn whoever want wear wear well least wear piece fabric look well side strap ruffle thing bodice nothing body weirdly made dont really comprehend seamor gathering draping even like two shoulder maybe even thing feel like better christian serano look could gone know mean like advocating behalf christian sano know there better thing exist one strange strange weird pick speaking weird pic carrie washington wearing balenciaga here thing know weve seen dress like nicole kidman cuz wore think balenciaga show celebrity wore think nicole dont understand like neon pink drape gown dont think work feel heavy yet dont think supposed feel heavy think way come neck also strange like kind eats away part neck lose ability sort raise neck taller dress go high think strange pick like could get part draped violently neon pink guess also think glove shoe like understand thats balenciaga styling understand thats dont get chose there lot balenciaga carpet like know people dont like balenciaga thats fine dont comprehend didnt go heavily like balenciaga oat couture yester year stuff rather stuck sort experimental stuff clearly like mainstream audience doesnt love much im understanding next margaret qualey shes wearing chanel think really lovely feel like dont get say chanel lot im hoping get say lot future mat blazi going really sweet like chanel studio team see respect appreciate lovely white dress look close see beautiful silver flash star thing like like coco chanel signature loved five started star leo born fifth month like big thing number five know number five get also love really really look close side right bicep see little tear chiffon like super super light chiffon actually think rather lovely dont even mind bow much cuz think one singular black bow help sort create waste time doesnt try interfere anything else going dress move front dress nice tear real chanel signature look stuff thats lot early chanel look like dont mind seeing kind style think done properly feel like done properly like look radiant beautiful im happy finally get say see people say im mean cruel nice next mdty mat wanted talk cuz like fun nice cool love white suit love squiggle know particular name whoever going tell name appreciate squiggle believe like western influence think theyre nice sort piping lapel sleeve love little bolo tie shoe great star shoe like fun like fun suiting let try next mikey madison bga vena matu blazi designed bga vena heard lend rumor dont know true apparently last custom look well see mat bga got cherish reality metu cuz man love fish love scale enamel sequin create fish scale experience say think far bga custom like red carpet stuff pretty good little helter skelter certain point wasnt always great like idea seeing happen like fit well work enamel know allows texture work bga mat really like staple foundation think nice look really lovely think gold work wish maybe little higher possibly besides think good next nikki glazer shes wearing prob gung everybody mad mad dont love dress im sorry saw couple look nikki glazer woree throughout award show thought lot better dont think color great moment think maybe backdrop think also like silk like silhouette know like sort builtin fake circular train situation doesnt look refined could think really color actual problem tough fabric think really sell think waist good think skirt isnt really amazing fine amazing liked lot stuff wore feel like color really really hard pull next timothy shalam wearing tom ford apparently first hder acrian designed piece seeing tom ford hyder acman appointed tom ford love little glitter suit black suit afar maybe doesnt look super interesting zoom see theyre little speck glitter assume theyre sequin sort flecked around feel like nice piece wrapping paper im shirt underneath totally fine dont mind actually think striped scarf thought odd choice people saying bob dylan reference dont know actually like thats fine know he lot bob dylan method dressing stuff appreciate timmy going thing fun know risky trying look little bit see could find stuff like somebody said something wore stage also saw online mario bod posted picture hater rman wearing scarf exact manner like tying like timothy shanam hater arran like good friend like really really good buddy think maybe bob dyan reference also think definitely hater acrian reference like see wish pant fit little bit differently feel like thats always like signature thing besides actually really love suit get used tie feel like he fun fashion next viola davis wearing gucci love see didnt even know gucci think lovely black fit wonderfully dress opaque gorgeous stunning easy thing thats really fun feel like viola love color like color block pleated cape back actually like strip dont know theyre sequin think theyre st strip metallic fabric blue green pink there also bottom dress there yellow like fun disco party movement color rainbow experience like nice like fact black backdrop actual black sequin gown cape think add little fun think sab disaro gucci need great product make beautiful thing need little bit fun little bit excitement think like good way really subtle version also keeping brand idea gucci know front forward facing think look great next zena wearing custom louis vuon bulgary beautiful gorgeous necklace mean without doubt cant say shes stunning like shes beautiful human like stunning gown pretty simple strapless column dress builtin sort bustle skirt train back really lovely rusty orange something feel like dont see often pair hair think really play super duper well together top bulgary necklace like little lightish bluish green turquoisey silver also love dress fact reference play nod designer zelda win valdez new york based designer actually made iconic playboy bunny uniform also made lot clothes besides thats one notable contribution often time talk american fashion designer zelda wi valz like added equation shes like one forgotten designer also inspiration zena la roach look joyce bryant singer fact zelda valdez made dress joyce bryant there couple see kind going term column dress also found interesting exactly dress cant really find like specific zelda wi valdez reference dress picture joyce bryant wearing similar silhouette term column dress side panel dont go way around reality think thats probably started slowly surely built beautiful look louis vuitton nasier create homage also much think look fantastic say true issue dress right corset see seam running right front there wrinkling thats assume corset fit super duper well there little bit excess fabric order think able move thing zenai thats really really smart know im giving little bit difference wouldnt give people yes agree always understands style fix wasnt carpet stylus one point see video zena pushing fabric wrinkling cuz understood dress top there picture cover area hand like say im talking need sell garment like cannot expect dress suit whatever work also part process wearing understanding flaw something necessarily work wont photograph well job make sure minimize think really good example celebrity upand cominging celebrity like got part process done understand clothes going work wont work play thought really interesting take besides everything else including matching shoe utterly perfect last person video cuz well another video promise zoe sana cerol sequin dress strapless im going say like really dark brown doesnt feel like black think thats also silk sort shawl train shes wearing chocolatey brown dont mind think little simple also feel like ive seen zoe like evening gown thing dont understand well done quality look nice everything work together even way necklace sort slowly surely move there subtle little plunge like thats want thats fine im im taking im happy good nice looking thing thats im going get okay right let talk best worst part one worst im going give ali wong carrie washington jonathan vaness im going give glen powell nikki glazer know im going put angelina dress bad misguided play character thats im putting okay best im going give matd im going put margaret quy im going put cynthia arivo dont care anybody think love im going put viola davis c blan chat zanda seems good thank much watching hope guy enjoyed stick around part two coming shortly hopefully ill see guy next one tt l
