Video ID,clean_title,clean_transcript
NTMAr2clXeY,are these ai glasses worth it carterpcs tech techtok techfacts ai frames glasses tech,these are ai glasses theyre called the frames and they have cameras built in so the glasses could see what youre seeing and then with the click of a button you could ask a builtin ai questions about what youre looking at okay these are so light that they almost feel cheap and this right here looks like the display um you know they took some risks stylistically even though they look stupid on me though i will give them credit they are not bulky whatsoever the app seems pretty intuitive this is a good start this is smart you could customize how much the ai talk a lot of times these chat boxes yap and yap and yap and yap ive got a math problem in front of me right now all i have to do tap like this tap like okay here we go how do you solve this problem what does x equal please provide the equation im looking at it man maybe it just cant read off of a monitor what am i looking at right now headphones and candle nice so the display interface im looking at right now is kind of finicky i could only sometimes see it now weirdly the glasses dont have speakers so when you hear it talk its coming out by phone speakers which for bucks is not ideal the form factors actually kind of growing on me i want to like these but the ai software just still seems so inconsist
Ym3tDIzueBU,really tiny spy technology,this may look like an ordinary piece of junk mail but in reality theres a secret message hidden on this page but even looking right at it you wouldnt know it was there here let me circle it if i cut out this little piece of paper and soak it in water you can see that this little black speck is actually a solid separate piece that comes off it doesnt look like much but thats because the message is too small to see if we take this little chunk and stick it under the microscope we see the hidden message this is called a micro dot and it has been a key piece of spy technology for almost years in world war i they were used to allow sending more dense information discreetly via carrier pigeon and in the cold war they were used extensively by spies operating in the soviet union and around the world but if you want to learn how to make them youre going to have to watch the full video on our channel
THw-wXt7wyM,tech myths busted,five tech myths busted more signal bars equals better service the signal bars on your phone actually show how close you are to the nearest cell tower not the speed so full signal can still feel slow if the network is busy airplane mode charges your phone faster technically speaking yes by about a minute but only because airplane mode makes you lose your battery a tiny bit slower it doesnt actually have anything to do with the charging itself more megapixels equals better photos heres a megapixel photo heres a megapixel photo theres so many factors that define how good a modern camera system is that the actual megapixel count is becoming almost meaningless closing apps will speed up your phone in most cases it actually makes it slower current smartphones are actually designed to be able to manage and juggle multiple apps automatically in the background so if you keep closing them your phone will actually have to use more power to load them back up again private browsing mode is anonymous it does prevent your logins and your history being recorded on your device but everything you do still goes through your internet service provider
EnJgyKosCII,how neuralink works,neurolink starts with a surgeon drilling a hole in your head about the size of a coin then a robotic arm carefully inserts the ultra thin flexible threads into your brain these threads are finer than a strand of hair and are equipped with electrodes that directly interact with the cells in your brain this implant is capable of interpreting your thoughts and applying them to real life actions
SJBkTSSJGPQ,this drone has wings technology engineering drone,i just brought this drone and it has wings instead of propellers but will it fly this type of drone is called an ornithopter and to fly it has to convert the spinning motion of a motor here into the flapping of the lightweight wings it does this using an intricate set of cogs that all work together in perfect synchronization just like this to change direction it uses another motor to move the tail from side to side all of this together creates a drone thats even more agile than one with propellers there are much more complex and impressive flapping drones that can fly incredibly well like the ones from festo that i covered in a recent video but lets see if this one from amazon can fly turns out it flew pretty well even after a few crashes subscribe for more
vgB_RmRa_kI,cleaning a macbook pro this is bad tech pc technology shorts,introducing the sad book pro the dustiest crustiest greasiest musti overpriced laptop coming to a basement near you complete with lb of horse pubes l of finger grease and more crack rocks than your local housing project this diabolical delight of dingleberries isnt for the faint of heart but waiting in filth is nothing new to the greatest technician thats ever lived since crawling through the toxic landfill known as your room is sometimes the only path to sleeping with your mother thankfully ive finally acquired a mask thanks to adams fearing for my health so im well equipped to decontaminate this slab of malaria and scrub away those remnants of rsv using your parakeet toothbrush that i acquired during my nightly wrestling match at your residence with the temps no longer resembling midnight in vegas its time to wipe up the screen that has a layer of grease so thick it rivals the disastrous oil spill your face and with one last look over its time to burn this rag like ive burned your eyeball
gkYfm8G7lSc,the brightest phone flash in the world,this is an iphone and this is the largest iphone in the world and just to give you an idea check out how bright this flash is so lets get the thing powered up with the largest usbc cable in the world this is a completely custom cable designed to deliver a lot of power with two very strong magnets that allow it to do this unlock for the most satisfying button behind every button is a tiny air hole which reduces the speed at which air can pass through making every press have so much weight every single person is looking at me right now yeah come over have a look pretty cool right biggest selfie in the world so this is what a normal iphone flash does to my face its better than no light but our iphone does this oh my god feel like i just walked into the sun
MNqGDBlPJpY,oldest tech,the oldest tech you still use is probably a monitor its so obvious right monitors and tvs last such a long time my parents still have an old crt panasonic tv that somehow still works i mean its an absolute monster but i mean it still displays image but okay youre a chad and you keep your tech always updated you buy the latest iphone every year and wow youre so cool in that case its very likely that the oldest tech for you is probably your games console ive met so many people who have nostalgia for old nintendo or playstation consoles and some who still to this day got a working xbox and use it for that sweet mid s gaming now of course not everyone is blessed to be able to upgrade their phone or pc every monday so i still see comments saying omg thats my pc after i put a picture in a video of my laptop from if youre one of those people dont worry your upgrade will come soon king just got to stay patient
rzFKuRWktCo,crooked m slot on hp laptop makes me uncomfortable technology tech computer shorts,does looking at this laptop make you uncomfortable this m slot is definitely a last minute idea that they just shoved in wherever there was room someone at hp either got a raise or got fired for this design this is a perfect example of how much effort hp puts into designing their consumer model laptops
2L2mA0rkZ4Q,s biggest fashion trends you cant miss,hello beautiful people and welcome back to the channel this year is shaping up to be a groundbreaking year in the fashion world with trends that are bold versatile and full of character in todays video well explore the top fashion trends that are going to be everywhere this year from wardrobe essentials reimagined to bold statement pieces these trends will inspire your next outfit and elevate your style so grab a cozy drink and lets dive into the biggest fashion moments of number one basics but elevated is redefining wardrobe essentials by giving everyday basics a contemporary twist classic pieces like tank tops and tshirts are being reimagined with refined cuts premium fabrics and thoughtful details that elevate their overall look this trend celebrates the power of simplicity focusing on pieces that combine comfort with style tank tops and shirts are both stepping into the spotlight this year with innovative designs that bring a fresh perspective to wardrobe essentials shirts are no longer confined to traditional cuts instead were seeing asymmetric hems oversized silhouettes and cropped styles that add intrigue to even the simplest outfits whether its a sleek satin buttondown or a crisp cotton shirt with unique details like exaggerated cuffs or high low hemlines these designs make a statement while remaining versatile number two white jeans white jeans are no longer confined to summer wardrobes they have become a yearround essential for their clean and modern aesthetic makes them a standout piece whether styled casually or for more polished occasions this season white jeans are available in a variety of styles from highwaisted and wid leg to slim and straight cuts the key is to choose a design that complements your body shape while maintaining a structured fit white denims bright and fresh appearance can serve as a perfect foundation for both neutral and vibrant color palettes number three slim straight jeans skinny jeans may be taking a back seat but slim straight jeans are here to stay this flattering style offers the ideal balance between structure and comfort making it a musthave this year this timeless style has evolved to include a variety of washes from deep indigos to soft light blues allowing you to choose the perfect shade for any occasion slim straight jeans are celebrated for their ability to complement a wide range of wardrobe pieces making them a foundational item for modern dressing number four the return of boho bohemian style is making a major comeback this year reimagined with a fresh modern twist key elements like flowy dresses ruffle skirts and fringe accents remain staples of this trend but theyre now paired with more structured pieces to create a balanced aesthetic rich earthy tones such as terracotta sage green and mustard yellow dominate the color palette giving the boho aesthetic a grounded and elegant feel suede jackets and boots are standout pieces that seamlessly tie together the relaxed and polished aspects of this style ruffle details lightweight fabrics and embroidery add texture and movement to outfits making them visually dynamic accessories are crucial for completing the boho vibe with belts playing a standout role wide belts often featuring bold buckles and intricate detailing are a defining element of this aesthetic these eyecatching pieces help cinch the waist and add structure to flowy dresses or skirts creating a balanced silhouette number five exposed shoulders exposed shoulder designs are dominating the fashion scene this year offering a blend of boldness and femininity that feels both modern and timeless whether its through offshoulder tops strapless dresses or as symmetrical cuts this trend highlights the neckline and shoulders creating a graceful and striking silhouette this style works across various fabrics and occasions from relaxed daytime pieces to elegant evening wear flowy offshoulder blouses and knit tops with cutout shoulders are key examples of how this trend can be incorporated into different wardrobe staples exposed shoulder designs not only draw attention to the upper body but also exude confidence and poise this season they are a must have for anyone looking to embrace a fresh elegant and fashion forward look number six statement jewelry in statement jewelry takes a more refined and artistic turn focusing on unique and eyecatching details pearl necklaces are making waves often layered in varying lengths to create a sophisticated and modern aesthetic this layered approach allows the timeless elegance of pearls to feel fresh and contemporary cuff bracelets are also gaining attention especially when styled in pairs and worn over the sleeves of blouses or coats this bold placement adds an unexpected twist to an outfit blending practicality with high fashion look for sleek metallic designs or embellished cuffs to make a strong impression oversized earrings continue to dominate as a key accessory from geometric shapes to intricate designs with gemstones these statement pieces frame the face beautifully and add a touch of drama to your look this seasons jewelry embraces bold and daring designs but they can be seamlessly balanced by pairing them with outfits in a harmonious and minimalist way number seven ladylike jackets tailored jackets with feminine details like cinched waists flared hems and pearl buttons are making waves this season these designs strike a delicate balance between structure and softness making them ideal for both formal and casual occasions in addition to tailored jackets boxy and buttoned cardigans are also gaining attention these versatile pieces offer a modern twist on classic knitwear with clean lines and decorative buttons that make them stand out perfect for layering they can easily transition from day to night while keeping you stylish and comfortable number eight sheer layers sheer fabrics are making a bold statement this season appearing in everything from blouses and dresses to trousers and skirts these translucent pieces bring a light ethereal quality to outfits adding texture and depth to any wardrobe while sheer clothing may not be everyones favorite trend it has the potential to be both elegant and refined when used thoughtfully incorporating sheer elements in a minimalist and understated way like a sheer panel on a blouse or a delicate overlay on a dress can elevate your look for special occasions or stylish venues number nine a plethora of polar polo shirts are stepping back into the spotlight this year but with a modern twist that redefines this classic wardrobe staple from sleek formfitting designs to oversized silhouettes polos are being reimagined with fresh cuts unique textures and unexpected details this season expect to see polos crafted from elevated materials like ribbed knits soft wools and even satin finishes the introduction of contrasting collars bold color blocks and subtle embellishments adds a contemporary edge to this timeless piece number maximalist fashion the maximalist trend of is all about embracing bold patterns vibrant colors and unique textures to express individuality and confidence through your wardrobe this year fashion is taking a turn towards statement making pieces that prioritize creativity over convention expect to see daring combination of colors and patterns as well as clothing featuring unexpected cuts and dramatic silhouettes pieces with intricate detailing oversized proportions and unconventional designs are leading the charge in redefining personal style and there you have it fashion trends that will define whether youre a fan of bold maximalism or prefer the understated charm of ladylike jackets theres something for everyone to embrace this season if you enjoyed this video dont dont forget to like subscribe and share with your fashion forward friends thank you for watching and ill see you in the next video stay stylish stay confident and make your most fashionable year yet
f39Fy5jTzfI,fashion trends that are going to be huge,its always fun to see what trends are going to be happening for the next season and in this case the next year and so these are the trends that the fashion world is predicting to be huge in some may surprise you some you may not want to see but this is an idea of what we have to look forward to and lets get started in we saw lots of basics basics were a very big trend we had every single company known to man whether they made basics or not they came out with a white tea basics were huge this year in were going to still see basics but theyre going to be a little bit updated or a little bit elevated a little bit more interesting the tank top was huge in and its still a very big trend for and of course you will see your basic ribed tank top but you also are going to see some tank tops that are glittery or metallic or leather your basic tank top but on steroids ill be honest with you im not sure how how i feel about the that these kinds of tank tops i dont know if ill be into that but maybe i will who knows well see what happens lets talk about just a few jeans and ill probably do a whole separate video on jeans next year for spring but some jeans that are going to be big for the barrel leg its just its not going anywhere anyone who thought it was a flash in the pan trend um its not its still here its still going to go well into will it last forever of course not but it is still a big jean trend for youre also going to see a lot of white jeans and offwhite jeans go into which makes sense because its kind of a micro trend right now but then as we get into spring i cant even believe im talking about spring right now um it was degrees this morning anyway as we get into spring it will be kind of a more traditional type trend so i think were going to see a lot of white jeans and offwhite jeans styled in many different ways and on into heres a big question that everybody wants to know is are skinny jeans going to come back in and listen i dont know the future but i can predict it just based on what i see in the fashion world the thing is the skinny jean that we were wearing like six years ago that are really stretchy that were almost a jegging theyre really tight they were tight all the way down to our to our ankles those just yeah know they they still look kind of dated yes you can play around with them and probably restyle them as i think you can do with all your clothes but as far as wearing them in the exact same ways we were wearing them for so many years its still a kind of a dated look what is a big trend and i think this will be a big trend for are the slim straight jeans which are kind of a cousin to the skinny jean but its a stiffer pair of jeans theyre not super stretchy like the ones we were wearing and they may be fitted on your hips and your thighs but then it has some room at the calf so theyre definitely a skinnier jean but theyre not skin tight but what do i know you never know in the spring it might be flooding our world and everywhere you see skinny jeans and over the knee boots and um floppy hats or something and the s are back it is so much fun to watch which is why i love doing these videos but if i had to predict it i still dont think those skinny jeans from years ago are going to be back in and then of course wide leg straight leg all that is definitely in thats like a big major huge trend thats definitely not going anywhere for a long time lowrise highrise midrise any rise but the wide and straight is definitely the more staple kind of um style jean at the moment now in we are definitely going to see a lot more statement jewelry and just interesting ensembles very unique to your own personal style i did do a jewelry video i will link down in the description box below but if you do like high quality jewelry pieces or youre looking for a really great gift for somebody who does im very excited to share with you the sponsor of this video which is majuri youve definitely seen me wear a lot of maui pieces these are just kind of some of my everyday goto pieces that i put on these earrings im wearing right now are they look like they would be heavy but theyre not they are super lightweight have them in silver and ive worn them so much that i actually got them in gold as well because theyre kind of a statement earring but theyre still theyre not heavy and like cumbersome and i just think theyre so cute cuz sometimes i just want to wear like a big earring and nothing else i do think something like this would be a really great christmas gift for somebody who likes jewelry because theyre still classic enough looking but they still make a statement and theyre very high quality theyre not heavy they go really well with all the highneck sweaters now i have seen a lot of heart jewelry hearts have been a huge trend for for a while but this has been the one that i actually really really like its just subtle enough you could layer it with other things or you could just wear it by itself maui has probably the best ring selection i think of anybody i love their rings all of their rings are very easy to wear by themselves or you can stack them with each other and i also get really funny about wearing really heavy rings on my fingers all day long because they start to bother me but these i wear and then i just kind of forget that i have them on if you do like high quality jewelry karat gold stir lling silver all of majs pieces are sustainably sourced and theyre all made of high quality materials i really dont think you can go wrong with any of these pieces i will link the ones that im showing you here um down below in the description box and great company to check out for christmas gifts this year and lets continue shear has been a big trend for the last couple of years but in i think its going to be bigger than ever lots of clothing houses are really embracing shear in just lots of different styles and ill be honest with you i just got to tell you i do think that you know of these sheer pieces and sheer items they just you know they just they run the risk of just kind of looking cheap and tacky ill just thats thats how i feel i dont know maybe i shouldnt say that this video but there are of them that look beautiful there is one dress its the dress that is basically not sheer all the way down to your thigh and then its got a sheer skirt i think these are so pretty i probably stand alone on that so theres some sheer that i actually really like and usually when something becomes a really big trend it does come out in more styles and it just gets better looking and theres a lot more options to choose from so maybe in six months ill be like i love shear shear is so great if you like shear get ready for it and if youre like me you only like some sheer well maybe therell be some pieces of shear that you actually really like in we are going to see a lot more maximalist fashion in in the last few years weve saw a lot of minimalist fashion and just a lot of basic no frills kinds of styles which i personally kind of love but it is fun to add something thats kind of a statement piece every once in a while so i think thats really going to kick off in the engine is going to start for this more maximalist statement making pieces in the fashion world designers like st laurant and loue they are bringing back some more statement making maxima styles in some of their shows were already seeing this in jewelry where a lot more statement pieces and like just you know big bigg ger more statement making jewelry pieces are kind of becoming these standouts in the jewelry world so i think this is really going to continue through itll be fun to see where this goes and itll really be fun to see where fashion goes with this being a trend in we are going to see more of the boho look become a thing and when was it that boho was so big i dont know why im drawing a blank on this comment below when it was so big was it the s you know what maybe it was the s maybe it was both in any case youre going to see a lot more boho styles this will be a really fun one to look at when spring comes around in fall weve seen a lot of these big hobo bags which is definitely more of kind of like the boho style become really big but we will definitely see more boho styles going into and suede has been a huge trend suede is definitely going to continue to be a huge trend in even in spring we saw a lot of this from chloe in these beautiful feminine suede pieces for spring paired with very feminine skirts and very feminine boho ensembles suede will be so big in and even in spring youre going to see suede loafers sued skirts and so many styles in the suede and faux suede fabric this is of course just a continuation of the big suede trend thats happening right now and theres one suede item the suede midi skirt that i just think is so cute every time i see it on somebody im like oh my god i love that look love it with boots i think its so cute sports wear and active wear has kind of been blurring its definition for quite some time and in we saw a kind of a microt trend of the adidas pants with a button down and some loafers or ballet flats or something and in were going to see more of these sportswear athletic wear type styles but they kind of look a little more fashiony they dont look like you would just wear them to go work out or play rugby because you know were all playing rugby over here um it be something you wear with your pearls and then you wear as your outfit i love the big rugby stripe thats been on trend for a while i have one rugby stripe shirt i had to reel myself back in from buying like a total slew of them its like i just need one but i love that look and so i do kind of see i kind of see myself kind of being into this its a fun casual trend i can kind of see this being a a really fun trend for us to play around with in youll have to let me know what you think along with this sporty chic trend i am expecting to see a lot more polo shirts in womens fashion in so we have seen a rise in the trend of polo shirts in and were just going to see a lot more styles and cuts of polo shirts instead of it just being the boxy kind of oversized relaxed polo shirts we might see some that maybe are a little bit more of a feminine little bit body skimming of a cut so im not personally into the body skimming fitted cuts and i dont really even think thatll be the big trend i think itll still be more like the relaxed look i do think we will see different variations of the polo shirt become really big for shoulders are going to be trending for i know that sounds strange and i dont mean cold shoulder tops theyre still not trending not even for but the offsh shoulder strapless the one shoulder the asymmetrical all those styles will be really big for and of course were coming up on spring were not really coming up on spring the first major season in if we dont really count winter is spring and so you know you will see a lot of strapless dresses and a lot of you know one shoulder asymmetrical even right now in fall and winter we are seeing a lot of sweaters and knits that are offsh shoulder so i think this will be a fun one for if you like those styles i do love the off shoulder and the one shoulder i think that can be a really fun way to show a little bit of skin but youre not just like showing everything so well have to see where that goes these are two trends that have been huge for and i think even and theyre just going to still be huge in its just one of those really big trends that last many many years and one is the ladylike jacket or the tweed jacket the chanel inspired jacket thats really been a big trend the last couple of years and its just going to continue into and then the other trend that is going to continue into are the cardigans and im talking about like the more boxy de cardigans andor the ones that are already button well kind of like the one i have on but i guess this isnt really a cardigan and but that whole style is still very big cropped or really long either way but that has just been a really big trend for itll be into im sure you probably already have one of these something like it because it is so popular but i dont see that going anywhere for so those were some major trends happening for that we can expect to see youll have to let me know what you think i will of course do some more videos as we get more into and on specific categories theres so much fun to watch i just love to see what happens in the fashion world and some trends i love and some trends i dont so you know dont ever feel obligated to wear something just because its trending anyway let me know what you think as always let me know what you like or dont like um make sure to check out maui especially if youre still looking for gifts for those people who are a little bit hard to buy for i feel like they have some really great pieces that would be really beautiful christmas gifts anyway i will link everything um that i talk about or mentioned in the video in the description box below and i will see you next time
